,DA,IA,MM,MC
MS138 2,0.34482758620689674,4.583333333333334,0.0,2.580645161290323
B7.8,1.0344827586206886,5.833333333333334,1.8181818181818183,0.0
MS8 6,0.6896551724137935,5.416666666666668,0.9090909090909092,0.967741935483871
MS1 13,2.93103448275862,1.6666666666666665,2.7272727272727275,3.870967741935484
MS13 14,0.5172413793103443,3.75,3.6363636363636367,6.774193548387096
S713'V,0.6896551724137935,3.75,2.7272727272727275,3.2258064516129026
B3.22,1.0344827586206904,2.916666666666666,3.6363636363636367,2.2580645161290325
S802',4.137931034482759,9.166666666666668,2.7272727272727275,2.580645161290323
B4.08,0.5172413793103443,3.333333333333333,2.7272727272727275,0.967741935483871
S1707,2.2413793103448274,3.75,1.8181818181818183,1.290322580645161
S1213A,0.8620689655172411,8.75,1.8181818181818183,4.193548387096773
MS3 18,0.0,7.5,1.8181818181818183,2.2580645161290325
S745A,1.0344827586206886,4.583333333333334,1.8181818181818183,3.2258064516129026
MS8 13,1.3793103448275854,7.916666666666668,4.545454545454545,5.161290322580645
MS11 21,7.068965517241378,3.75,0.0,4.838709677419354
MS53 7,4.137931034482759,6.666666666666666,6.363636363636363,10.0
MS3 10,10.0,0.41666666666666663,7.272727272727273,9.354838709677418
S1705,2.93103448275862,3.333333333333333,10.0,8.70967741935484
S1350,2.93103448275862,6.25,4.545454545454545,9.677419354838708
B701,1.8965517241379306,2.0833333333333335,2.7272727272727275,3.870967741935484
MS4 1,2.7586206896551717,7.083333333333334,2.7272727272727275,2.580645161290322
S10071,4.655172413793102,8.75,3.6363636363636367,6.129032258064516
MS8 20,0.6896551724137918,7.5,1.8181818181818183,0.967741935483871
MS1 18,1.7241379310344822,7.083333333333334,1.8181818181818183,1.6129032258064513
MS16 2,1.0344827586206886,5.0,1.8181818181818183,2.258064516129032
S625,8.96551724137931,6.25,0.9090909090909092,1.6129032258064513
MS11 13,0.6896551724137935,7.083333333333334,1.8181818181818183,3.2258064516129026
MS10 14,1.0344827586206886,10.0,0.9090909090909092,1.935483870967742
MS16 7,0.6896551724137918,5.833333333333334,0.9090909090909092,0.967741935483871
MS8 10,2.068965517241379,7.916666666666668,2.7272727272727275,3.2258064516129026
S524,4.482758620689654,4.583333333333334,0.9090909090909092,4.193548387096774
MS3 15,1.5517241379310347,5.0,3.6363636363636367,0.967741935483871
MS6 8,0.8620689655172411,7.5,0.9090909090909092,2.2580645161290325
MS3 11,3.9655172413793105,5.416666666666668,1.8181818181818183,1.6129032258064513
S709B,0.8620689655172411,6.25,0.0,0.967741935483871
MS10 6,0.34482758620689674,4.583333333333334,2.7272727272727275,1.2903225806451615
MS11 4,0.17241379310344754,3.75,0.9090909090909092,0.6451612903225807
MS8 12,0.6896551724137935,6.25,0.9090909090909092,1.935483870967742
MS11 23,0.8620689655172411,7.5,0.9090909090909092,2.5806451612903225
MS5 4,2.413793103448276,4.583333333333334,0.9090909090909092,0.967741935483871
S1502.2,1.8965517241379306,2.916666666666667,1.8181818181818183,1.935483870967742
MS16 3,1.7241379310344822,6.666666666666666,2.7272727272727275,5.806451612903226
MS4 2,1.206896551724138,7.083333333333334,3.6363636363636367,2.5806451612903225
S713'W,3.793103448275862,7.916666666666668,1.8181818181818183,1.2903225806451615
S1226,2.413793103448276,5.0,0.9090909090909092,4.516129032258065
MS10 8,0.8620689655172411,5.0,1.8181818181818183,3.2258064516129026
MS4 4,1.8965517241379306,6.666666666666666,2.7272727272727275,2.903225806451613
S1213B,0.8620689655172411,5.416666666666668,2.7272727272727275,1.2903225806451615
MS11 19,2.93103448275862,5.833333333333334,2.7272727272727275,2.903225806451613
S1701,0.17241379310344754,4.583333333333334,1.8181818181818183,0.967741935483871
MS8 30,0.6896551724137935,5.416666666666668,2.7272727272727275,1.935483870967742
MS11 6,4.482758620689654,3.75,4.545454545454545,2.2580645161290325
MS15 6,1.5517241379310347,5.0,2.7272727272727275,2.2580645161290325
MS1 14,8.27586206896552,0.41666666666666663,1.8181818181818183,3.870967741935484
MS16 8,3.793103448275862,4.583333333333334,2.7272727272727275,2.5806451612903225
B201,9.310344827586206,0.0,3.6363636363636367,7.741935483870968
MS8 21,3.275862068965517,6.666666666666666,2.7272727272727275,3.548387096774193
S705A,1.379310344827587,5.0,2.7272727272727275,2.9032258064516125
B213,2.068965517241379,4.583333333333334,3.6363636363636367,3.548387096774193
S709A,2.068965517241378,5.416666666666668,2.7272727272727275,0.967741935483871
