strain,outdeg_CCAM,outdeg_CCVM,outdeg_CMP,outdeg_CS,outdeg_IG,outdeg_IC,outdeg_RP,outdeg_IRP,outdeg_IAC_RAC,outdeg_IAC_RDE,outdeg_IRAC,outdeg_RAC,indeg_CCAM,indeg_CCVM,indeg_CMP,indeg_CS,indeg_IG,indeg_IC,indeg_RP,indeg_IRP,indeg_IAC_RAC,indeg_IAC_RDE,indeg_IRAC,indeg_RAC,participation,sd_outdeg,sd_pagerank,community_switches,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,cluster
MS138 2,2.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,9.0,0.0,2.0,31.0,1.0,5.0,0.0,15.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.6393388429752067,8.36120339557783,0.007185104000881941,4.0,-2.3256519444041683,1.1414844448399515,-1.2322520728648862,-0.13844473773073163,-0.49793731589538737,0.7315102182286782,-0.09885362120918836,0.620255782126917,-0.33361443812166097,-1.8962510485308046,1.3915071489041533,-1.0151522478530104,0.45373432926688356,-1.0777162138966048,0.16447233725915417,-0.025630914661574754,0.750445799877922,0.3246135019315777,0.6455125413505141,0.23055976292327013,1
B7.8,0.0,0.0,1.0,4.0,2.0,0.0,2.0,0.0,7.0,0.0,7.0,33.0,0.0,22.0,11.0,7.0,18.0,1.0,1.0,0.0,0.0,13.0,0.0,0.0,0.6135204081632653,8.900686615212459,0.030053844786694442,3.0,-4.650988151043392,1.078723649013457,-1.2525382144201178,1.1811261104347583,-0.6022024509340195,1.3421415311877558,4.309095421977195,0.7133471468004228,-0.5308543437614844,1.6796243625131295,-1.4926861012043495,0.2711025244223493,2.405371738081719,0.3525874499297287,-0.5978724396909791,1.097818213614599,0.17587873949092245,0.6267615791645571,-0.3759598807506849,-0.28957126512764525,1
MS8 6,0.0,2.0,3.0,3.0,2.0,0.0,1.0,0.0,10.0,0.0,3.0,31.0,0.0,0.0,1.0,13.0,29.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.6373553719008265,8.391050126308519,0.017098847078386967,2.0,-3.2626856912011966,1.5119955751123326,-1.1725410918320505,-0.2680369047904071,-0.6334691034175991,0.2944051094445295,-0.1304610472546009,0.3291106123579246,-1.2365062791640964,-2.5262885725365027,-0.44516044281598993,0.10645472451502984,1.0225162402364034,-1.2873341620961891,0.7853612480916932,1.0462790508424251,-0.4684932156390236,0.24865297376641193,-0.12256720460496584,-0.1566947043150737,1
MS1 13,2.0,3.0,7.0,5.0,16.0,3.0,3.0,0.0,4.0,0.0,0.0,27.0,1.0,7.0,14.0,9.0,15.0,2.0,0.0,0.0,13.0,0.0,16.0,55.0,0.7742857142857142,7.624886155798583,0.019778044052135804,6.0,1.707230686607952,-0.7976024200758015,1.614292055128007,-1.2837683317143762,-1.109230365554993,0.9767435589441759,-0.010447470978553076,1.0520227191923512,0.7725214062306753,-0.20129651069573756,0.38504800550645457,0.42064866872784673,0.9839602071007745,0.6315879253142528,-1.0342488655574729,0.16601652439308928,-0.8656950038789237,1.1541946671131431,0.28291401158014395,-0.6619501405886831,3
MS13 14,4.0,7.0,11.0,4.0,5.0,0.0,4.0,0.0,2.0,5.0,2.0,27.0,3.0,3.0,12.0,24.0,15.0,1.0,0.0,0.0,6.0,0.0,19.0,58.0,0.8006347946835946,6.981622702177163,0.01370614260411011,6.0,2.9095600983065806,-0.25118613166108916,3.3896044680569046,-1.806648747514234,-1.7025708679943545,0.7797005251052169,1.2582231708987537,-0.31918317563673915,0.04001218187773028,-0.41986218437924344,0.6928494923203089,-0.47020128966976316,-0.9822342328736865,0.13023101449196622,-0.1879906050093672,1.1225073642571757,0.6331078438996699,1.1744640744099808,0.793011657955613,0.18324774515579703,3
S713'V,1.0,6.0,2.0,6.0,5.0,0.0,2.0,1.0,2.0,5.0,2.0,28.0,1.0,1.0,15.0,0.0,5.0,1.0,0.0,0.0,23.0,0.0,6.0,44.0,0.7433333333333333,7.211102550927978,0.01574744705134175,5.0,1.2394614954104122,-1.607989173741973,1.2669619670787706,-0.8533565031548979,-0.05541032289732247,-0.08040360498043854,0.9098438632001425,0.08893532186772951,2.910558644411563,-0.39489536904609546,-1.1053884258992992,-0.6301706691836213,0.8813287210237309,-1.6594610752974135,-0.5215671178151771,-0.8034442782362619,-0.040811888533045605,-0.08396960293413323,0.35070355903919703,0.8900479480536724,3
B3.22,2.0,4.0,3.0,3.0,4.0,0.0,4.0,0.0,5.0,0.0,2.0,31.0,1.0,7.0,1.0,1.0,36.0,9.0,0.0,0.0,5.0,0.0,4.0,4.0,0.6848989298454222,8.060534859562498,0.020164236978502555,6.0,-1.6242304903612568,3.5633488587088014,0.30517006219271575,-1.4979302772879577,-1.8637126776628008,2.3298575631595226,-2.7990878631957115,0.19420241773347352,0.18393237660218137,-0.7975879974370297,-0.4340311097350951,0.8978140385182126,0.4763936899227719,0.3341018118733499,-0.7816310020212055,-0.4101673639981956,0.6147086706713034,-0.8455092832126181,-1.020304704130036,0.4290819003126666,1
S802',2.0,4.0,3.0,4.0,23.0,0.0,3.0,0.0,6.0,4.0,12.0,30.0,0.0,0.0,10.0,45.0,3.0,2.0,0.0,0.0,4.0,0.0,20.0,57.0,0.7972467093346214,9.07798007390533,0.040274988119805906,5.0,1.2692235417163875,-0.8076086533771263,2.8538988024895646,-1.2166191423777903,-1.6170310751422585,-2.61127193490344,2.624325119654772,1.3662541015694705,-3.2226731596024236,-0.5898827191370373,1.5694153887598474,-0.1925112058856884,-0.41761165067857575,0.2185787064703969,-0.9448768661627828,-0.24392716248817822,0.8588569729334832,-1.107323596290407,-0.19229725951628837,0.5155030723089651,3
B4.08,2.0,4.0,2.0,0.0,1.0,0.0,3.0,0.0,3.0,0.0,5.0,31.0,1.0,2.0,0.0,0.0,21.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.6043829296424452,8.227241335952167,0.01039553247289705,6.0,-2.3664850653672724,1.4833611020617221,-1.675808987127038,-0.6012728082435104,-2.162352448930885,1.2842993928644983,0.07325712146096433,0.20085811243475654,0.5458759500390881,0.28008858201722,-0.5245315330871865,-1.769855324699703,-1.5789022224625249,-0.030238881342201034,0.6590542785589305,0.39542021072236616,-0.5483793484348466,0.08484544086769794,0.3304522031027385,0.4177377148127268,1
S1707,0.0,2.0,3.0,4.0,14.0,0.0,2.0,0.0,5.0,2.0,2.0,28.0,0.0,1.0,8.0,33.0,12.0,1.0,0.0,0.0,10.0,0.0,2.0,58.0,0.7278876170655567,7.776388764858803,0.028229418838433683,6.0,-0.09755066547371405,-1.5292690611032145,0.810570950491747,-0.9544542419486755,-2.366349636391859,-0.1875669855378708,1.4370232237305998,0.9577262494148587,0.006490157047864757,-1.7373831592791096,1.6282747771388735,-0.2828006741996015,0.5229715386522223,-0.1132979068716808,-0.5601845693284838,0.4737228209605484,-0.8561702673582426,-1.2369226044058255,0.16970751892884103,-0.09763467280133394,3
