layer,scc_obs,scc_null_mean,scc_null_sd,z,p_raw,n_null_draws,seed,p_fdr_bh,significant_bh,p_fdr_by,significant_by
CCAM,4,3.8079,2.4808089469572483,0.07743441921862369,1.0,10000,20260522,1.0,False,1.0,False
CCVM,24,22.4109,3.411806740207196,0.46576495124207823,0.6744325567443256,10000,20260522,1.0,False,1.0,False
CMP,39,38.6006,1.5551596355838249,0.2568225093175471,1.0,10000,20260522,1.0,False,1.0,False
CS,26,26.36,2.82634018120289,-0.12737320241712144,1.0,10000,20260522,1.0,False,1.0,False
IG,59,58.9902,0.09952361777512665,0.09846908923810979,1.0,10000,20260522,1.0,False,1.0,False
IC,2,5.3919,2.6291834570004915,-1.2900963570909025,0.23177682231776822,10000,20260522,1.0,False,1.0,False
RP,3,4.255,0.8572330399888265,-1.4640126330365872,0.24847515248475152,10000,20260522,1.0,False,1.0,False
IRP,1,1.0,0.0,,1.0,10000,20260522,1.0,False,1.0,False
IAC_RAC,46,46.2622,1.1924736304572665,-0.2198790759838074,1.0,10000,20260522,1.0,False,1.0,False
IAC_RDE,1,1.0,0.0,,1.0,10000,20260522,1.0,False,1.0,False
IRAC,41,40.2639,1.3964425499029733,0.5271251581750682,0.7558244175582441,10000,20260522,1.0,False,1.0,False
RAC,51,50.5771,0.7403447852454315,0.5712203400741225,1.0,10000,20260522,1.0,False,1.0,False
