,CCAM,CCVM,CMP,CS,IG,IC,RP,IRP,IAC_RAC,IAC_RDE,IRAC,RAC
MS138 2,-0.5,-6.5,7.0,-20.0,-104.0,-5.5,0.0,0.0,63.0,0.0,14.5,578.0
B7.8,0.0,-69.0,-56.0,-41.5,-147.5,-1.0,2.5,0.0,59.5,-18.0,37.5,596.5
MS8 6,0.0,10.0,11.5,-56.0,-309.5,-3.0,1.5,0.0,65.0,-3.0,20.5,558.0
MS1 13,-2.0,-19.0,-36.5,-21.5,-13.5,8.0,7.0,0.0,-40.0,0.0,-123.5,-520.5
MS13 14,5.5,-5.0,-11.5,-54.0,-106.0,-1.0,11.0,0.0,-35.0,14.0,-93.0,-553.5
S713'V,4.0,18.0,-49.0,22.5,-2.0,-1.0,4.5,1.0,-164.0,8.0,-5.5,-274.0
B3.22,4.0,-3.5,11.5,10.0,-369.0,-22.5,9.5,0.0,2.5,0.0,-8.0,490.5
S802',3.0,18.0,-37.0,-149.0,151.0,-4.0,6.0,0.0,31.0,6.0,-44.0,-500.5
B4.08,0.0,9.5,6.0,0.0,-182.0,-5.0,6.0,0.0,20.0,-2.0,30.0,534.0
S1707,0.0,6.5,-21.5,-81.0,50.5,-1.0,3.5,0.0,-34.5,2.0,2.5,-523.0
S1213A,3.5,-91.0,51.0,21.5,-12.5,0.0,3.5,0.0,100.5,-2.0,31.0,569.5
MS3 18,0.0,10.5,28.0,23.0,-33.0,-1.5,3.5,0.0,34.0,-6.0,55.5,445.5
S745A,1.5,22.0,-19.0,-13.5,-23.0,-1.0,-95.0,-9.0,29.0,-5.0,30.5,456.0
MS8 13,2.0,33.0,32.5,27.0,22.5,14.5,4.5,2.0,22.5,0.0,3.5,164.5
MS11 21,5.5,17.0,-9.0,17.0,273.0,37.5,-8.0,-1.0,-45.5,0.0,22.5,-271.0
MS53 7,16.0,42.5,-3.5,18.0,-144.0,-10.0,15.0,1.0,-62.5,0.0,-20.0,300.0
MS3 10,15.5,41.5,44.5,46.0,439.5,21.0,9.5,4.0,0.0,0.0,7.0,-668.0
S1705,8.0,36.0,-57.5,-60.5,-30.5,4.0,24.0,2.0,28.5,0.0,3.0,509.0
S1350,24.0,29.5,48.0,28.0,-269.5,-7.0,12.0,0.0,40.0,0.0,-24.5,326.0
B701,-56.0,-107.0,31.0,9.5,59.0,0.0,1.5,0.0,-36.5,-1.0,-5.0,-381.0
MS4 1,7.0,14.0,8.5,-17.5,22.5,0.0,6.0,0.0,-9.5,4.0,-5.0,-292.5
S10071,6.5,22.0,60.5,28.0,125.0,-2.0,9.0,0.0,13.5,12.0,-2.5,-601.0
MS8 20,-12.5,-46.0,3.0,12.0,-99.0,-5.5,4.5,0.0,73.0,0.0,20.0,430.5
MS1 18,5.0,17.5,16.5,10.5,-265.5,-4.5,3.5,0.0,60.0,0.0,61.5,628.0
MS16 2,3.5,-1.5,19.5,-3.0,-187.5,-4.0,-11.0,-2.0,7.5,-2.0,39.0,443.0
S625,1.5,13.5,-21.0,-8.5,340.0,44.0,2.0,0.0,-148.0,0.0,33.0,-138.5
MS11 13,-16.5,-9.5,23.5,29.0,12.5,0.0,1.0,1.0,65.0,0.0,31.0,294.0
MS10 14,2.0,-17.0,2.0,-19.0,-35.5,-8.0,2.0,0.0,81.5,0.0,46.0,429.0
MS16 7,-11.0,-31.5,-61.0,-26.0,-68.0,-3.0,-1.0,0.0,-80.0,-1.0,-31.0,-49.5
MS8 10,8.5,15.5,-52.5,4.0,90.0,-4.5,3.0,1.0,-38.5,-3.0,30.0,274.5
S524,1.5,25.0,-23.0,19.5,143.0,4.0,2.0,0.0,9.0,0.0,24.5,-650.5
MS3 15,0.0,6.0,14.5,16.0,-17.5,-5.5,7.0,0.0,40.0,-8.0,27.5,504.5
MS6 8,4.0,-84.0,19.0,17.0,-65.0,-7.5,2.0,0.0,-12.5,0.0,-21.5,-10.0
MS3 11,-10.0,3.0,-13.0,-13.5,14.5,26.0,1.5,0.0,-9.5,0.0,25.0,323.0
S709B,-39.0,-61.0,-80.5,16.5,-57.5,-1.5,0.0,0.0,26.0,8.0,-48.0,-488.0
MS10 6,1.5,3.0,1.5,-31.5,-72.0,-5.0,-6.5,-1.0,-109.0,1.0,-56.5,-366.5
MS11 4,1.5,3.5,-3.5,13.0,-72.5,-3.5,2.0,0.0,19.0,-1.0,26.0,461.5
MS8 12,1.5,8.0,-14.5,15.0,-64.0,-8.5,2.0,0.0,32.5,-6.0,49.0,481.5
MS11 23,0.5,19.5,-10.0,16.5,-57.5,-4.0,2.0,0.0,31.5,-6.0,49.5,474.0
MS5 4,0.0,9.0,15.5,2.5,31.5,-1.0,2.0,0.0,15.5,3.0,9.0,-521.0
S1502.2,1.5,9.5,14.0,-29.5,-88.0,-8.5,3.5,0.0,22.5,-1.0,10.0,401.5
MS16 3,2.5,22.5,-24.0,23.5,-24.0,2.0,4.0,1.0,32.0,0.0,27.0,186.5
MS4 2,3.5,17.0,16.5,19.5,38.5,-3.0,8.5,0.0,-55.5,6.0,-69.5,-320.0
S713'W,-1.0,10.5,-23.5,-73.5,118.0,-6.0,3.5,0.0,14.5,3.0,-47.0,-521.0
S1226,2.0,23.0,2.0,29.5,76.0,-1.5,-106.5,-2.0,30.0,0.0,8.0,-478.5
MS10 8,-1.5,-71.5,14.0,12.5,20.0,-6.5,-40.5,-3.0,-18.0,2.0,-22.5,-338.0
MS4 4,4.5,12.5,-17.5,-11.5,45.0,-2.5,6.0,0.0,-39.0,1.0,-36.5,-15.0
S1213B,-1.5,-57.0,33.5,10.0,-38.0,-8.5,6.0,0.0,29.5,-4.0,20.5,473.5
MS11 19,2.5,16.0,28.5,17.5,2.5,-1.0,6.0,0.0,-75.5,-3.0,-45.0,222.0
S1701,1.5,17.5,-28.5,11.0,-42.5,-8.0,2.5,0.0,30.0,-2.0,24.0,399.5
MS8 30,1.5,10.5,7.0,24.5,-58.0,-4.0,6.0,0.0,-37.0,-6.0,12.5,-376.5
MS11 6,0.0,3.0,11.5,-3.0,142.0,2.0,7.0,1.0,-18.5,1.0,-16.5,-500.5
MS15 6,-5.0,0.5,-15.0,21.5,40.0,-8.0,6.0,-1.0,-2.0,0.0,-41.5,-450.0
MS1 14,1.0,11.5,56.0,27.0,319.0,25.0,2.0,1.0,6.5,0.0,0.0,-693.0
MS16 8,-5.5,11.5,-62.0,3.0,170.0,-3.0,6.0,0.0,-108.5,2.0,0.0,-493.5
B201,7.5,27.5,78.5,31.0,364.5,23.5,4.5,2.0,0.0,0.0,0.0,-519.5
MS8 21,1.5,12.0,5.0,43.5,64.5,-3.0,3.5,1.0,-39.5,0.0,30.5,252.0
S705A,-3.0,6.0,8.0,19.5,-83.0,-12.0,5.0,0.0,36.0,1.0,-19.0,163.5
B213,2.5,21.5,-15.5,7.0,-13.0,-1.5,6.0,1.0,44.5,-2.0,-59.0,-349.5
S709A,-4.0,-6.0,36.0,11.0,-20.5,-3.0,6.0,0.0,3.5,8.0,-17.0,-505.5
