embedding,covariance,k_used,cluster,n_strains,DA_centroid,IA_centroid,MM_centroid,MC_centroid,CCAM_centroid,CCVM_centroid,CMP_centroid,CS_centroid,IG_centroid,IC_centroid,RP_centroid,IRP_centroid,IAC_RAC_centroid,IAC_RDE_centroid,IRAC_centroid,RAC_centroid
4D_codebase_embedding,full,4,0,50,1.5759085402856856,5.616688254281885,2.200004658892478,2.412948266241691,,,,,,,,,,,,
4D_codebase_embedding,full,4,1,4,3.663681585381843,6.249718475853543,6.136645423573818,8.629313559084014,,,,,,,,,,,,
4D_codebase_embedding,full,4,2,4,7.198494319378968,3.749932869002827,0.9090909610797397,3.628986822753315,,,,,,,,,,,,
4D_codebase_embedding,full,4,3,2,9.655172413793094,0.20833333333333837,5.4545454545454515,8.548387096774187,,,,,,,,,,,,
4D_codebase_embedding,diag,8,0,14,1.4287054439729612,5.9222077703521725,1.8181818181818186,2.0048243757448914,,,,,,,,,,,,
4D_codebase_embedding,diag,8,1,18,1.9731209564361354,5.345061399292218,2.7272727272727275,2.701872277172716,,,,,,,,,,,,
4D_codebase_embedding,diag,8,2,1,2.9310344827586188,3.3333333333333375,9.999999999999984,8.709677419354827,,,,,,,,,,,,
4D_codebase_embedding,diag,8,3,1,8.275862068965507,0.4166666666666776,1.81818181818182,3.870967741935482,,,,,,,,,,,,
4D_codebase_embedding,diag,8,4,10,2.3948801168230065,5.669284225119043,4.17532521494771,4.933497363181524,,,,,,,,,,,,
4D_codebase_embedding,diag,8,5,9,0.726137821037909,6.529123051323076,0.717018138286861,1.6764913208858923,,,,,,,,,,,,
4D_codebase_embedding,diag,8,6,2,9.65517242055132,0.208333337416434,5.454545490179727,8.548387112579713,,,,,,,,,,,,
4D_codebase_embedding,diag,8,7,5,4.4812535404847536,4.745948068784147,0.7117934190613522,2.9923880180293243,,,,,,,,,,,,
4D_codebase_embedding,spherical,7,0,1,9.999999999999984,0.4166666666666776,7.272727272727263,9.354838709677404,,,,,,,,,,,,
4D_codebase_embedding,spherical,7,1,33,1.6415245326855212,4.701499179120299,2.145586486875754,2.1844601013095026,,,,,,,,,,,,
4D_codebase_embedding,spherical,7,2,2,7.64862790510732,2.101000254509536,0.9096131881662668,4.353477358189588,,,,,,,,,,,,
4D_codebase_embedding,spherical,7,3,16,1.6573100475184157,7.512883801856637,1.975086517351726,2.5337917347154493,,,,,,,,,,,,
4D_codebase_embedding,spherical,7,4,6,2.8022851333147325,6.043483678185693,5.312068954936821,7.511188130062859,,,,,,,,,,,,
4D_codebase_embedding,spherical,7,5,1,8.965517241379295,6.249999999999998,0.9090909090909125,1.6129032258064546,,,,,,,,,,,,
4D_codebase_embedding,spherical,7,6,1,9.31034482758619,1.1546319456101628e-14,3.636363636363634,7.741935483870959,,,,,,,,,,,,
12D_outdegree_profile,full,5,0,6,,,,,1.5,4.0,5.5,4.666666666666667,12.5,0.3333333333333339,2.833333333333333,0.1666666666666667,4.166666666666668,6.83333333333333,3.0000000000000004,25.833333333333336
12D_outdegree_profile,full,5,1,7,,,,,1.4285714285714248,3.8571428571428354,5.714285714285726,3.8571428571428497,26.857142857142826,10.000000000000059,1.7142857142857193,0.28571428571428764,4.571428571428562,0.1428571428571439,4.142857142857137,25.428571428571445
12D_outdegree_profile,full,5,2,5,,,,,5.199999999999999,8.2,12.2,7.599999999999999,25.999999999999996,6.599999999999999,5.199999999999999,1.7999999999999994,4.200000000000001,2.220446049250313e-16,3.8000000000000007,30.4
12D_outdegree_profile,full,5,3,10,,,,,1.7000000533841189,3.800000136241756,2.9000001430068543,4.500000038299423,6.299999949001223,0.6000000454387622,1.4000000302632556,0.4000000302899761,12.000000226566158,2.220446049250313e-16,5.400000031090467,27.50000011156793
12D_outdegree_profile,full,5,4,32,,,,,1.2499999939671742,3.812499957128635,3.0312499522041985,3.968750000604006,9.718749935028944,0.1874999955626222,2.3749999674683626,0.09374999778210175,5.781250076371142,0.7812499815109213,6.281249969428549,28.656249937771182
12D_outdegree_profile,diag,7,0,30,,,,,1.1996405204244476,3.531768148863137,2.8956759564247774,3.832516349812856,6.917432301826084,0.0,2.0648031299836314,5.551115123125783e-17,6.839538609614438,0.5309112193820371,5.7014896223211835,28.767085920792635
12D_outdegree_profile,diag,7,1,3,,,,,3.666666666732349,7.000000000073893,9.000000000049258,7.000000000049261,44.66666666675697,13.666666666658445,2.3333333333661757,2.3333333333661743,0.33333333331691595,8.881784197001252e-16,0.3333333333415469,24.000000000049265
12D_outdegree_profile,diag,7,2,13,,,,,1.768424426254776,3.9288180291634602,4.772149162366614,3.998335292887749,17.833900525925824,1.4540590120374177,2.5415173924902055,0.0,5.074322619149013,3.305026820528411,4.6989309713748355,27.084466544584014
12D_outdegree_profile,diag,7,3,3,,,,,5.333333332859244,8.00000000028445,13.666666666856297,7.333333333143697,12.33333333342815,2.0,6.666666667140751,1.0000000002844516,7.0,6.661338147750939e-16,5.999999999431096,34.000000000568896
12D_outdegree_profile,diag,7,4,6,,,,,2.160348440654807,5.314688906134483,3.9945482660424023,5.331857153045747,10.002296138119277,1.3316024894498515,1.998765362033328,0.9941297288768207,10.80067989716527,4.440892098500626e-16,6.814534440993524,26.341493057704707
12D_outdegree_profile,diag,7,5,2,,,,,0.5000000000000016,3.0000000000000013,4.0,2.5000000000000018,22.499999999999993,18.999999999999982,1.500000000000001,3.3306690738754696e-16,6.0,1.1102230246251565e-15,7.9999999999999964,25.000000000000004
12D_outdegree_profile,diag,7,6,3,,,,,0.668586510558818,4.002896621324346,3.6672332012305096,5.9971696145694695,16.995605410697912,1.664311019394023,2.6671210668631544,0.9999999999999997,4.337178244160304,2.6628269788331718,4.33296898859417,26.66711932574235
12D_outdegree_profile,spherical,7,0,39,,,,,1.1817534147885944,3.5380758046153904,2.868120411020554,3.96302368225468,9.540375288085162,0.2548259307972762,2.256619628484043,0.07325189337111288,5.917948222055487,1.2721144040020118,5.428289710156381,28.30552976598653
12D_outdegree_profile,spherical,7,1,7,,,,,1.7240744418152638,4.25605395695885,6.4583827105828835,4.09650042991421,30.85803357012461,12.212015891347331,1.579748380329605,0.6085770143017615,3.7986649181766134,0.14277724038058914,4.099371917916456,25.666098509654482
12D_outdegree_profile,spherical,7,2,3,,,,,5.3333333329986115,8.000000000191847,13.666666666775114,7.333333333201543,12.33333333339931,1.9999999999975415,6.666666666969411,1.0000000001929843,7.000000000005457,1.1102230246251565e-15,5.999999999627484,34.000000000364146
12D_outdegree_profile,spherical,7,3,8,,,,,1.9731320928686467,4.875232687121075,3.834445306007572,5.156918646400893,8.926887942057222,0.953616083127832,1.7225498555228658,0.6179338191416417,11.679069204688004,0.03789552095123394,6.6466042883861345,26.816152178864456
12D_outdegree_profile,spherical,7,4,1,,,,,5.99999999999999,9.999999999999988,8.99999999999999,8.99999999999999,48.99999999999992,14.999999999999972,3.9999999999999964,3.999999999999992,1.4210854715202004e-14,2.4424906541753444e-15,1.0000000000000098,23.00000000000001
12D_outdegree_profile,spherical,7,5,1,,,,,1.9999999999999993,4.0,12.999999999999982,4.999999999999998,29.999999999999964,4.218847493575595e-15,3.9999999999999964,7.216449660063518e-16,5.0000000000000036,10.999999999999979,5.000000000000001,26.000000000000004
