layer,PC1_loading,PC2_loading,PC3_loading
CCAM,0.36666235724775587,0.25431730664222846,-0.032863279282013234
CCVM,0.3832574866287668,0.20006476891497546,-0.15802074610092004
CMP,0.411612085791747,0.1526619206693515,0.1831552060357468
CS,0.2949419922117103,0.1154931801937198,-0.12463502229374743
IG,0.33188822554196956,-0.377093988226786,-0.06745172299492848
IC,0.2512993871987758,-0.3819978836257882,-0.289146796781013
RP,0.26517567122759583,0.32565363268977665,0.36575826245478804
IRP,0.39865369878070683,-0.06184095380015695,-0.20452130538996555
IAC_RAC,-0.18547964169563116,0.2904279657866535,-0.3888995801517984
IAC_RDE,-0.002327408647977257,-0.14586037100994953,0.6503551406994244
IRAC,-0.15676597348845708,0.2503620771374043,-0.2861909160626417
RAC,-0.027006621412438734,0.5406947264164044,0.07068324799502629
