component,variance_explained,cumulative_variance,var_ci_lo,var_ci_hi,parallel_null_mean,parallel_null_p95,significant_vs_parallel,significant_vs_parallel_mean_rule,seed
PC1,0.3245424498834637,0.3245424498834637,0.2415157662333256,0.43698286323114316,0.1517714644794978,0.17032535569816143,True,True,20260522
PC2,0.17317810988568896,0.49772055976915264,0.13370158773272908,0.22096722170281966,0.13146360355602568,0.1436828700835849,True,True,20260522
PC3,0.11822331685992604,0.6159438766290787,0.09801917022184657,0.14967820613082689,0.11649540324724114,0.1262026808144635,False,True,20260522
PC4,0.0822774409815631,0.6982213176106418,0.06907904278738022,0.11416308543023192,0.10387809640946911,0.11223424640727607,False,False,20260522
PC5,0.07286222529863215,0.771083542909274,0.05290245672991821,0.08910103066444329,0.09335917147716408,0.10074742696729527,False,False,20260522
PC6,0.05474140097447815,0.825824943883752,0.04064658988935058,0.07290123701914103,0.0836189214384028,0.0908077050491768,False,False,20260522
PC7,0.04733981321340268,0.8731647570971547,0.0320427437765026,0.058492404227585275,0.07434149682579112,0.08127114924080114,False,False,20260522
PC8,0.041730168735370964,0.9148949258325256,0.024294418122357258,0.04691870056469424,0.0655945488247979,0.07283200031953559,False,False,20260522
PC9,0.026751516831881587,0.9416464426644072,0.017372800007596025,0.03649143550820053,0.05729900360652388,0.06386393373307088,False,False,20260522
PC10,0.024862413523533942,0.9665088561879411,0.012198481594199907,0.02806791780144611,0.04914742949738526,0.05608042970103115,False,False,20260522
PC11,0.020769994594264003,0.9872788507822051,0.007577149576930105,0.021475050871539628,0.04108196710955838,0.047793549219909186,False,False,20260522
PC12,0.012721149217794627,0.9999999999999998,0.004252736667520715,0.014601436178194455,0.031948893528142876,0.0398693613616646,False,False,20260522
