topology,trait,pagel_lambda,LR,p_chi2_ref,p_perm,null_lambda_p95,q_BH
ML GTR+GAMMA (build_tree.py),outdeg_CCAM,5.9608609865491405e-06,-0.0001859583740611015,1.0,0.898,0.8696231110611543,0.9429000000000001
ML GTR+GAMMA (build_tree.py),outdeg_CCVM,0.07033608857973007,0.675766326028878,0.20552419892926876,0.495,0.8202028623784756,0.7909999999999999
ML GTR+GAMMA (build_tree.py),outdeg_CMP,0.09895021908939429,0.5179830397561034,0.23585166510078864,0.532,0.8630824727098344,0.7909999999999999
ML GTR+GAMMA (build_tree.py),outdeg_CS,0.40571050218624616,0.7106681643419961,0.1996110433699308,0.512,0.8370826912058555,0.7909999999999999
ML GTR+GAMMA (build_tree.py),outdeg_IG,0.658389261335192,2.2501882481763573,0.06679907467090292,0.359,0.871505235592282,0.7909999999999999
ML GTR+GAMMA (build_tree.py),outdeg_IC,0.1211087005080102,1.3543523696681063,0.12225933424423951,0.388,0.9271158773096877,0.7909999999999999
ML GTR+GAMMA (build_tree.py),outdeg_RP,0.12983667715437786,0.10273918091064616,0.37428347348193025,0.565,0.9048673489774458,0.7909999999999999
ML GTR+GAMMA (build_tree.py),outdeg_IRP,0.9543066953552457,20.433470065003974,3.087025531051603e-06,0.105,0.9464545711872435,0.7909999999999999
ML GTR+GAMMA (build_tree.py),outdeg_IAC_RAC,5.9608609865491405e-06,-0.00016257524100637966,1.0,0.847,0.8407204056755289,0.9361578947368421
ML GTR+GAMMA (build_tree.py),outdeg_IAC_RDE,0.7470880968360546,9.973212935690185,0.0007941704095253951,0.177,0.9283858633197016,0.7909999999999999
ML GTR+GAMMA (build_tree.py),outdeg_IRAC,0.34597009554347624,0.9122347684692329,0.16976108170472431,0.507,0.7881271215892579,0.7909999999999999
ML GTR+GAMMA (build_tree.py),outdeg_RAC,0.5357189889723819,2.9401157764316395,0.043202269803273075,0.322,0.8402417857276224,0.7909999999999999
ML GTR+GAMMA (build_tree.py),cat_DA,0.6794336091505477,3.28437853540413,0.03497105114430036,0.33,0.8895743381615027,0.7909999999999999
ML GTR+GAMMA (build_tree.py),cat_IA,0.5013970353466388,-0.312777088701381,1.0,0.983,0.8352799306635242,0.983
ML GTR+GAMMA (build_tree.py),cat_MM,0.8048776008496422,2.152477323165442,0.07117002813745812,0.339,0.9069253661370794,0.7909999999999999
ML GTR+GAMMA (build_tree.py),cat_MC,0.01903043287128905,0.05601726791672945,0.40645265253169927,0.616,0.884748792750394,0.8085
ML GTR+GAMMA (build_tree.py),total_out_degree,0.7481141100395988,7.071731668196804,0.0039154766986211785,0.199,0.8699272798908307,0.7909999999999999
ML GTR+GAMMA (build_tree.py),participation,5.6407358193738055e-06,-7.524268087877317e-05,1.0,0.716,0.8497881080332681,0.8843333333333334
ML GTR+GAMMA (build_tree.py),PC1_12D,0.8805239959841088,7.754872358486779,0.002678391366357094,0.18,0.8986107332073345,0.7909999999999999
ML GTR+GAMMA (build_tree.py),PC2_12D,5.9608609865491405e-06,-0.00011172990139129979,1.0,0.758,0.8588248035773062,0.8843333333333334
ML GTR+GAMMA (build_tree.py),PC3_12D,0.6601105188348205,3.886167366529804,0.024342702852939033,0.284,0.8518819153718409,0.7909999999999999
UPGMA (16S distances),outdeg_CCAM,5.9608609865491405e-06,-0.00027252331440763555,1.0,0.879,0.11851143413321456,0.9618000000000001
UPGMA (16S distances),outdeg_CCVM,5.9608609865491405e-06,-0.00016902469772617223,1.0,0.348,0.15190239247175943,0.8662500000000001
UPGMA (16S distances),outdeg_CMP,5.9608609865491405e-06,-0.00023010012401414315,1.0,0.632,0.1399868050046129,0.9003750000000001
UPGMA (16S distances),outdeg_CS,0.08310156870728963,-0.10586977036354028,1.0,0.992,0.16487456305567058,0.992
UPGMA (16S distances),outdeg_IG,5.9608609865491405e-06,-4.503132046806968e-05,1.0,0.09,0.17947752350256663,0.47250000000000003
UPGMA (16S distances),outdeg_IC,0.0716920121574319,0.2809634655373543,0.29803521080848727,0.089,0.36359658036067616,0.47250000000000003
UPGMA (16S distances),outdeg_RP,5.9608609865491405e-06,-0.0002268303918242509,1.0,0.605,0.13653152567775617,0.9003750000000001
UPGMA (16S distances),outdeg_IRP,5.9608609865491405e-06,-0.0002373984965231557,1.0,0.686,0.4019727294250039,0.9003750000000001
UPGMA (16S distances),outdeg_IAC_RAC,5.9608609865491405e-06,-0.00027875484724404487,1.0,0.916,0.16837370837272206,0.9618000000000001
UPGMA (16S distances),outdeg_IAC_RDE,5.9608609865491405e-06,-0.0001809508416101835,1.0,0.398,0.3308067156990087,0.8662500000000001
UPGMA (16S distances),outdeg_IRAC,5.9608609865491405e-06,-0.0002365793100409519,1.0,0.662,0.12997638780578907,0.9003750000000001
UPGMA (16S distances),outdeg_RAC,5.9608609865491405e-06,-9.779269871046381e-05,1.0,0.163,0.10356278728237538,0.6846000000000001
UPGMA (16S distances),cat_DA,0.0511240061545065,0.09098135522185657,0.38146662664899345,0.059,0.13380198873289237,0.47250000000000003
UPGMA (16S distances),cat_IA,5.9608609865491405e-06,-0.00019136545054720955,1.0,0.454,0.15526185943923693,0.8662500000000001
UPGMA (16S distances),cat_MM,5.9608609865491405e-06,-0.00025451051786262724,1.0,0.79,0.20468235393187942,0.9345000000000001
UPGMA (16S distances),cat_MC,5.9608609865491405e-06,-0.00019871106596269783,1.0,0.495,0.18688083146844933,0.8662500000000001
UPGMA (16S distances),total_out_degree,5.9608609865491405e-06,-0.00013807347065153408,1.0,0.254,0.14117169836530266,0.8662500000000001
UPGMA (16S distances),participation,5.9608609865491405e-06,-0.000260018512761917,1.0,0.801,0.1496782518899584,0.9345000000000001
UPGMA (16S distances),PC1_12D,5.9608609865491405e-06,-0.0001974426508866145,1.0,0.445,0.18795444891704663,0.8662500000000001
UPGMA (16S distances),PC2_12D,0.09047808594841021,0.18176063789510977,0.3349322609675558,0.07,0.14699984899620713,0.47250000000000003
UPGMA (16S distances),PC3_12D,5.9608609865491405e-06,-0.00019747965362171271,1.0,0.438,0.16990166499049872,0.8662500000000001
WPGMA (16S distances),outdeg_CCAM,5.9608609865491405e-06,-0.00027002187567859437,1.0,0.893,0.16537777205805215,0.893
WPGMA (16S distances),outdeg_CCVM,5.9608609865491405e-06,-0.0001375219826513785,1.0,0.284,0.13220234409749634,0.6626666666666666
WPGMA (16S distances),outdeg_CMP,5.9608609865491405e-06,-0.00022497370872542888,1.0,0.635,0.1640299686497279,0.8334375
WPGMA (16S distances),outdeg_CS,3.7979592178805717e-06,-3.654819681742083e-05,1.0,0.094,0.122276001127671,0.39480000000000004
WPGMA (16S distances),outdeg_IG,5.9608609865491405e-06,-3.357005817861136e-05,1.0,0.082,0.10811748278030765,0.39480000000000004
WPGMA (16S distances),outdeg_IC,0.06613652021260018,0.3103683704486002,0.28872711323217276,0.071,0.18172668909990045,0.39480000000000004
WPGMA (16S distances),outdeg_RP,5.9608609865491405e-06,-0.00022568903256114936,1.0,0.627,0.22971617416177814,0.8334375
WPGMA (16S distances),outdeg_IRP,5.9608609865491405e-06,-0.00021212000723380697,1.0,0.574,0.46515965613036736,0.8334375
WPGMA (16S distances),outdeg_IAC_RAC,5.9608609865491405e-06,-0.0002682922270196286,1.0,0.876,0.13825790755447637,0.893
WPGMA (16S distances),outdeg_IAC_RDE,5.9608609865491405e-06,-0.00014840021054851604,1.0,0.284,0.21870230397149093,0.6626666666666666
WPGMA (16S distances),outdeg_IRAC,5.9608609865491405e-06,-0.00023545622451592862,1.0,0.713,0.1172140609362927,0.8446666666666667
WPGMA (16S distances),outdeg_RAC,5.9608609865491405e-06,-9.597363572311224e-05,1.0,0.185,0.1094359819590783,0.6475000000000001
WPGMA (16S distances),cat_DA,0.05398765404826936,0.1834417026052222,0.3342160141819175,0.076,0.1285589334907993,0.39480000000000004
WPGMA (16S distances),cat_IA,5.9608609865491405e-06,-0.0001706691994627363,1.0,0.378,0.1295268094936645,0.6755000000000001
WPGMA (16S distances),cat_MM,5.9608609865491405e-06,-0.00024845984671628685,1.0,0.724,0.16690896386467205,0.8446666666666667
WPGMA (16S distances),cat_MC,5.9608609865491405e-06,-0.0001852372033681604,1.0,0.462,0.1711837607940633,0.7463076923076923
WPGMA (16S distances),total_out_degree,5.9608609865491405e-06,-0.00011636503688805533,1.0,0.23,0.14732754677527263,0.6626666666666666
WPGMA (16S distances),participation,5.9608609865491405e-06,-0.000261378404388779,1.0,0.853,0.1267206649467891,0.893
WPGMA (16S distances),PC1_12D,5.9608609865491405e-06,-0.00017325100088783074,1.0,0.38,0.25632127175038955,0.6755000000000001
WPGMA (16S distances),PC2_12D,0.0702210730787859,0.08113078117267492,0.3878854099837484,0.08,0.12520532814950958,0.39480000000000004
WPGMA (16S distances),PC3_12D,5.9608609865491405e-06,-0.00017154387512618996,1.0,0.386,0.14193304846544286,0.6755000000000001
