strain,role_instability,classified_layers,sd_out_degree,participation,total_out_degree,majority_role
MS138 2,4,9,8.36120339557783,0.6393388429752067,55.0,sender
B7.8,4,10,8.900686615212459,0.6135204081632653,56.0,receiver
MS8 6,4,10,8.391050126308519,0.6373553719008265,55.0,sender
MS1 13,4,10,7.624886155798583,0.7742857142857142,70.0,receiver
MS13 14,4,11,6.981622702177163,0.8006347946835946,71.0,receiver
S713'V,5,10,7.211102550927978,0.7433333333333333,60.0,sender
B3.22,4,9,8.060534859562498,0.6848989298454222,58.0,sender
S802',5,11,9.07798007390533,0.7972467093346214,91.0,sender
B4.08,3,10,8.227241335952167,0.6043829296424452,51.0,sender
S1707,4,9,7.776388764858803,0.7278876170655567,62.0,receiver
S1213A,2,9,8.545222836961791,0.760888888888889,75.0,sender
MS3 18,3,10,7.273906943467329,0.7460360118247783,61.0,sender
S745A,5,12,7.779513695169727,0.7336860670194003,63.0,receiver
MS8 13,0,9,7.033649282003065,0.828375966686496,82.0,sender
MS11 21,5,10,10.328964130056798,0.7860422405876951,99.0,sender
MS53 7,4,11,9.498537899183338,0.8303571428571428,112.0,sender
MS3 10,1,10,13.158225142050462,0.7937278106508876,130.0,sender
S1705,3,10,8.391050126308519,0.8268678924434052,97.0,sender
S1350,3,10,8.118480290191153,0.8391334182923242,101.0,sender
B701,3,9,7.2509577911396565,0.7673372781065089,65.0,receiver
MS4 1,3,9,8.440971508067067,0.7761341222879685,78.0,sender
S10071,3,11,9.390819985496474,0.8206802721088435,105.0,sender
MS8 20,4,10,7.262441432160094,0.7465735017468422,61.0,sender
MS1 18,2,10,9.30352382463524,0.6920415224913495,68.0,sender
MS16 2,5,11,7.123416003263853,0.7530233808116098,61.0,sender
S625,2,8,11.49969806366913,0.7780592191457769,107.0,sender
MS11 13,0,6,6.486631551806291,0.8041880151481399,67.0,sender
MS10 14,3,9,7.488416981504761,0.783177940884745,71.0,sender
MS16 7,1,11,7.027722880769338,0.7276785714285714,56.0,receiver
MS8 10,5,12,7.610300037887249,0.8024326101249178,78.0,sender
S524,1,9,9.331473028889324,0.7720415224913495,85.0,sender
MS3 15,3,10,8.122328620674136,0.7107180020811654,62.0,sender
MS6 8,4,8,6.909634979907082,0.7810650887573964,65.0,sender
MS3 11,4,8,7.653521339154212,0.7981109799291618,77.0,sender
S709B,3,10,6.672393373695329,0.7522314558325639,57.0,receiver
MS10 6,2,11,6.331139971074193,0.7517146776406036,54.0,receiver
MS11 4,4,10,7.421346837932377,0.6174739701222274,47.0,sender
MS8 12,3,9,7.438637868140466,0.7322222222222222,60.0,sender
MS11 23,4,10,7.9004219296608875,0.7447199265381084,66.0,sender
MS5 4,2,9,8.053208470334459,0.7205845301083397,63.0,sender
S1502.2,4,11,7.494442385305705,0.7294444444444445,60.0,sender
MS16 3,1,10,6.722164829874376,0.8340192043895748,81.0,sender
MS4 2,4,11,6.282692274990255,0.8200000000000001,70.0,sender
S713'W,4,11,8.709429755538917,0.7779301935680536,81.0,receiver
S1226,4,11,7.949056547792323,0.7818666666666667,75.0,sender
MS10 8,3,12,6.559026858714129,0.7865961199294533,63.0,receiver
MS4 4,5,10,7.857674945908335,0.7776318258585101,73.0,sender
S1213B,5,11,7.6207866318962685,0.716460787130135,59.0,sender
MS11 19,4,11,7.973480349815184,0.7879912295496712,77.0,sender
S1701,4,11,7.131210743391803,0.6820453671664743,51.0,sender
MS8 30,5,11,6.988085097745543,0.7538888888888888,60.0,sender
MS11 6,4,11,8.417491708737625,0.787075140984606,81.0,sender
MS15 6,4,10,7.62078663189627,0.7517159763313609,65.0,receiver
MS1 14,1,10,11.800129471982736,0.7390796046338611,97.0,sender
MS16 8,4,11,8.54887906882144,0.7725180802103879,78.0,receiver
B201,1,9,12.684198393626966,0.7731866825208086,116.0,sender
MS8 21,2,10,8.30118800065522,0.7966323123820583,83.0,sender
S705A,4,10,7.973915809270458,0.741505968778696,66.0,sender
B213,5,12,7.302967433402215,0.7932098765432098,72.0,sender
S709A,4,10,7.07646726049721,0.7744378698224852,65.0,receiver
