Category,Layer,Edges E,Density ρ,R_p,z (R_p),q (R_p),Mean out-deg,Mutual pairs,Largest SCC,z (SCC),q (SCC),Transitivity_und,z (T),q (T)
DA,RAC,1677,0.474,0.297,+2.75*,0.040,27.95,384,51,+0.57,1.000,0.784,-4.05*,5.0×10^-3^
DA,IG,767,0.217,0.150,+6.17*,1.5×10^-3^,12.78,100,59,+0.10,1.000,0.482,-3.56*,5.5×10^-3^
DA,IC,117,0.033,0.009,-0.58,1.000,1.95,1,2,-1.29,1.000,0.108,+0.54,1.000
IA,IAC_RAC,383,0.108,0.097,+2.82*,0.040,6.38,34,46,-0.22,1.000,0.302,-0.90,1.000
IA,IRAC,321,0.091,0.099,+4.24*,1.5×10^-3^,5.35,29,41,+0.53,1.000,0.251,-0.66,1.000
IA,IAC_RDE,67,0.019,0.000,—,1.000,1.12,0,1,—,1.000,0.037,-0.70,1.000
MM,RP,145,0.041,0.021,+2.45,0.221,2.42,3,3,-1.46,1.000,0.122,-0.74,1.000
MM,IRP,19,0.005,0.000,—,1.000,0.32,0,1,—,1.000,0.000,—,1.000
MC,CS,265,0.075,0.060,+3.10*,0.033,4.42,15,26,-0.13,1.000,0.182,-4.06*,5.0×10^-3^
MC,CMP,260,0.073,0.044,-1.35,0.905,4.33,11,39,+0.26,1.000,0.210,-3.34*,5.8×10^-3^
MC,CCVM,252,0.071,0.029,+0.34,1.000,4.20,7,24,+0.47,1.000,0.173,-2.60,0.064
MC,CCAM,102,0.029,0.010,+0.40,1.000,1.70,1,4,+0.08,1.000,0.093,-0.49,1.000
