layer,density_n60,reciprocity_pairs_n60,largest_scc_n60,density_n56,reciprocity_pairs_n56,largest_scc_n56,d_density,d_scc
CCAM,0.0288135593220339,0.009900990099009901,4,0.03051948051948052,0.010752688172043012,4,0.0017059211974466207,0
CCVM,0.0711864406779661,0.02857142857142857,24,0.07175324675324675,0.027906976744186046,23,0.0005668060752806459,-1
CMP,0.07344632768361582,0.04417670682730924,39,0.0724025974025974,0.05188679245283019,36,-0.0010437302810184235,-3
CS,0.0748587570621469,0.06,26,0.07662337662337662,0.05829596412556054,24,0.0017646195612297244,-2
IG,0.21666666666666667,0.14992503748125938,59,0.22142857142857142,0.13477537437603992,55,0.004761904761904745,-4
IC,0.03305084745762712,0.008620689655172414,2,0.03344155844155844,0.00980392156862745,2,0.0003907109839313208,0
RP,0.04096045197740113,0.02112676056338028,3,0.037337662337662336,0.017699115044247787,2,-0.003622789639738791,-1
IRP,0.005367231638418079,0.0,1,0.00487012987012987,0.0,1,-0.0004971017682882089,0
IAC_RAC,0.10819209039548022,0.09742120343839542,46,0.10584415584415584,0.09764309764309764,42,-0.002347934551324385,-4
IAC_RDE,0.018926553672316385,0.0,1,0.017207792207792207,0.0,1,-0.0017187614645241787,0
IRAC,0.09067796610169492,0.09931506849315068,41,0.08961038961038961,0.09523809523809523,38,-0.0010675764913053026,-3
RAC,0.47372881355932206,0.29698375870069604,51,0.48409090909090907,0.3067484662576687,46,0.010362095531587012,-5
