Generated figures:
  figure2_antagonistic_backbone.{png,svg}
  figure3_layer_similarity_partitioning.{png,svg}
  figure4_ecological_strategy_space.{png,svg}
  figure5_role_switching.{png,svg}
  embedding_representation_archetypes.{png,svg}

Layer statistics used in the figures:
layer,edges,density,reciprocity,reciprocity_edges,largest_scc,clustering,category
CCAM,102,0.0288,0.0099,0.0196,4,0.1859,MC
CCVM,252,0.0712,0.0286,0.0556,24,0.3158,MC
CMP,260,0.0734,0.0442,0.0846,39,0.2575,MC
CS,265,0.0749,0.06,0.1132,26,0.3408,MC
IG,767,0.2167,0.1499,0.2608,59,0.5401,DA
IC,117,0.0331,0.0086,0.0171,2,0.1666,DA
RP,145,0.041,0.0211,0.0414,3,0.538,MM
IRP,19,0.0054,0.0,0.0,1,0.0,MM
IAC_RAC,383,0.1082,0.0974,0.1775,46,0.3477,IA
IAC_RDE,67,0.0189,0.0,0.0,1,0.0161,IA
IRAC,321,0.0907,0.0993,0.1807,41,0.2963,MM
RAC,1677,0.4737,0.297,0.458,51,0.8286,DA
