phenotype,convention_anchor,phenotype_scoring_rule,n,edges,mean_out_degree,mean_in_degree,std_out_degree,std_in_degree,max_out_in_imbalance,mean_out_in_imbalance
CCAM,"rows=receiver, cols=sender (data_io.load_tensor and root/_notebook.layer_stats consistent)","Row i = receiver; col j = sender. M[i,j]=1 → j elicited CCAM in i. Confirm bench direction.",60,102,1.7,1.7,1.5307950004273378,4.473253849269009,29.0,2.466666666666667
CCVM,"rows=receiver, cols=sender (data_io.load_tensor and root/_notebook.layer_stats consistent)","Row i = receiver; col j = sender. M[i,j]=1 → j elicited CCVM in i. Confirm bench direction.",60,252,4.2,4.2,2.0639767440550294,7.556013058044125,27.0,5.5
CMP,"rows=receiver, cols=sender (data_io.load_tensor and root/_notebook.layer_stats consistent)","Row i = receiver; col j = sender. M[i,j]=1 → j elicited CMP in i. Confirm bench direction.",60,260,4.333333333333333,4.333333333333333,3.359894178227774,4.941884480865799,13.0,3.7333333333333334
CS,"rows=receiver, cols=sender (data_io.load_tensor and root/_notebook.layer_stats consistent)","Row i = receiver; col j = sender. M[i,j]=1 → j elicited CS in i. Confirm bench direction.",60,265,4.416666666666667,4.416666666666667,1.8465433171800283,8.214401310435768,41.0,5.533333333333333
IG,"rows=receiver, cols=sender (data_io.load_tensor and root/_notebook.layer_stats consistent)","Row i = receiver; col j = sender. M[i,j]=1 → j elicited IG in i. Confirm bench direction.",60,767,12.783333333333333,12.783333333333333,10.908852164895974,7.899560465972494,40.0,10.333333333333334
IC,"rows=receiver, cols=sender (data_io.load_tensor and root/_notebook.layer_stats consistent)","Row i = receiver; col j = sender. M[i,j]=1 → j elicited IC in i. Confirm bench direction.",60,117,1.95,1.95,4.51451363198001,1.5537588830531803,18.0,3.066666666666667
RP,"rows=receiver, cols=sender (data_io.load_tensor and root/_notebook.layer_stats consistent)","Row i = receiver; col j = sender. M[i,j]=1 → j elicited RP in i. Confirm bench direction.",60,145,2.4166666666666665,2.4166666666666665,1.486513445018989,8.712618562878912,50.0,4.166666666666667
IRP,"rows=receiver, cols=sender (data_io.load_tensor and root/_notebook.layer_stats consistent)","Row i = receiver; col j = sender. M[i,j]=1 → j elicited IRP in i. Confirm bench direction.",60,19,0.31666666666666665,0.31666666666666665,0.7186020379103367,1.258195356673818,9.0,0.6333333333333333
IAC_RAC,"rows=receiver, cols=sender (data_io.load_tensor and root/_notebook.layer_stats consistent)","Row i = receiver; col j = sender. M[i,j]=1 → j elicited IAC_RAC in i. Confirm bench direction.",60,383,6.383333333333334,6.383333333333334,3.3170854007027852,7.04294367119002,21.0,5.566666666666666
IAC_RDE,"rows=receiver, cols=sender (data_io.load_tensor and root/_notebook.layer_stats consistent)","Row i = receiver; col j = sender. M[i,j]=1 → j elicited IAC_RDE in i. Confirm bench direction.",60,67,1.1166666666666667,1.1166666666666667,2.1915874510398976,2.2142844342034187,13.0,2.0
IRAC,"rows=receiver, cols=sender (data_io.load_tensor and root/_notebook.layer_stats consistent)","Row i = receiver; col j = sender. M[i,j]=1 → j elicited IRAC in i. Confirm bench direction.",60,321,5.35,5.35,2.9542342493444895,6.065819537924506,17.0,5.266666666666667
RAC,"rows=receiver, cols=sender (data_io.load_tensor and root/_notebook.layer_stats consistent)","Row i = receiver; col j = sender. M[i,j]=1 → j elicited RAC in i. Confirm bench direction.",60,1677,27.95,27.95,3.029988998879919,23.40614235622778,37.0,23.0
