,CCAM,CCVM,CMP,CS,IG,IC,RP,IRP,IAC_RAC,IAC_RDE,IRAC,RAC
CCAM,0.9999999999999998,0.6180963726949887,0.13912842488297872,0.19223272644673292,0.04342459681844265,0.07709300745117313,0.3561498008017155,0.25113104723029783,-0.12322449037427717,0.06479774980778184,-0.023973713148941502,0.026941657370979828
CCVM,0.6180963726949887,0.9999999999999998,-0.055659014035289105,0.3163080944072742,0.3092700465954641,0.23543777347831682,0.2892369688793869,0.3544681518816577,-0.07124890618408183,0.04106162101238778,0.030324087047440898,-0.14091964155843822
CMP,0.13912842488297872,-0.0556590140352891,1.0,0.4702743274171489,-0.003862774268295828,-0.007238923428078433,0.12330748012821081,0.0666170545913341,0.17922601280076533,-0.06439322569036042,0.07209360495817237,0.025955619903512972
CS,0.19223272644673292,0.31630809440727425,0.4702743274171489,0.9999999999999998,0.22898631546593054,0.10006975790788068,0.09786319526220012,0.26933915542039216,0.036353024726960864,-0.05729569024629317,0.11530337158924599,-0.12702008068900242
IG,0.04342459681844265,0.3092700465954641,-0.0038627742682958276,0.22898631546593054,0.9999999999999998,0.5637598517397386,0.010313053342675592,0.2126657181078654,-0.38164841941896677,0.3300225496686685,-0.126679543180047,-0.6589974435923085
IC,0.07709300745117313,0.23543777347831685,-0.007238923428078434,0.10006975790788067,0.5637598517397387,1.0,-0.08032150872511833,0.31318615590543997,-0.22601204109037126,0.13780747881745917,0.04265396419929293,-0.37471704917986637
RP,0.3561498008017155,0.2892369688793869,0.12330748012821083,0.09786319526220012,0.010313053342675592,-0.08032150872511833,1.0,0.42332979342199983,-0.11649646442412842,0.20470837380221035,-0.3798871047087189,-0.12789304091079542
IRP,0.25113104723029783,0.35446815188165764,0.06661705459133412,0.26933915542039216,0.2126657181078654,0.31318615590544,0.42332979342199983,0.9999999999999999,0.002623393783401364,0.041328095019721955,0.0012287293219737597,-0.0849235028590625
IAC_RAC,-0.12322449037427717,-0.07124890618408183,0.17922601280076533,0.036353024726960864,-0.38164841941896677,-0.22601204109037126,-0.11649646442412841,0.002623393783401364,1.0,-0.33422098040025655,0.44978809182415663,0.510170622696433
IAC_RDE,0.06479774980778186,0.04106162101238778,-0.06439322569036042,-0.05729569024629316,0.33002254966866845,0.13780747881745914,0.20470837380221035,0.041328095019721955,-0.33422098040025655,1.0,-0.5827887560313212,-0.633219583914258
IRAC,-0.023973713148941502,0.0303240870474409,0.07209360495817237,0.115303371589246,-0.12667954318004698,0.04265396419929293,-0.3798871047087189,0.00122872932197376,0.44978809182415663,-0.5827887560313212,1.0,0.5937556476000623
RAC,0.026941657370979828,-0.14091964155843822,0.025955619903512975,-0.12702008068900245,-0.6589974435923085,-0.37471704917986637,-0.12789304091079542,-0.08492350285906249,0.5101706226964331,-0.6332195839142581,0.5937556476000623,0.9999999999999998
