layer,mantel_rho,p_value,n_dyads,q_BH
IC,0.12147952783341767,0.01,116,0.08520000000000001
IG,0.13146123754995157,0.0142,667,0.08520000000000001
IRP,0.05890226186140898,0.0998,19,0.3024
RAC,0.10612738866232715,0.1008,1293,0.3024
IRAC,-0.06144467200260512,0.138,292,0.3224
CCAM,0.06792182595371628,0.1612,101,0.3224
CS,-0.06338172464109705,0.2394,250,0.4104
IAC_RDE,-0.03367713303109936,0.4116,67,0.546
IAC_RAC,-0.03666413684263524,0.4252,349,0.546
RP,0.06102517866004626,0.455,142,0.546
CMP,0.023245595948499127,0.6216,249,0.678109090909091
CCVM,0.0006487237575126441,0.9936,245,0.9936
