strain,assimilation_capacity,n_sugars_used,total_out_degree,participation
MS138 2,13.0,8,55.0,0.6393388429752067
B7.8,7.0,7,56.0,0.6135204081632653
MS8 6,10.0,8,55.0,0.6373553719008265
MS1 13,12.0,8,70.0,0.7742857142857142
MS13 14,10.0,8,71.0,0.8006347946835946
S713V,13.0,8,60.0,0.7433333333333333
B3.22,13.0,8,58.0,0.6848989298454222
S802,10.0,8,91.0,0.7972467093346214
B4.08,9.0,8,51.0,0.6043829296424452
S1707,12.0,8,62.0,0.7278876170655567
S1213A,11.0,8,75.0,0.760888888888889
MS3 18,10.0,7,61.0,0.7460360118247783
S745A,20.0,8,63.0,0.7336860670194003
MS8 13,18.0,8,82.0,0.828375966686496
MS11 21,21.0,8,99.0,0.7860422405876951
MS53 7,16.0,8,112.0,0.8303571428571428
MS3 10,2.0,1,130.0,0.7937278106508876
S1705,10.0,8,97.0,0.8268678924434052
S1350,14.0,8,101.0,0.8391334182923242
B701,12.0,6,65.0,0.7673372781065089
MS4 1,12.0,7,78.0,0.7761341222879685
S10071,14.0,8,105.0,0.8206802721088435
MS8 20,4.0,4,61.0,0.7465735017468422
MS1 18,11.0,7,68.0,0.6920415224913495
MS16 2,13.0,8,61.0,0.7530233808116098
S625,23.0,8,107.0,0.7780592191457769
MS11 13,13.0,8,67.0,0.80418801514814
MS10 14,18.0,8,71.0,0.783177940884745
MS16 7,14.0,8,56.0,0.7276785714285714
MS8 10,10.0,8,78.0,0.8024326101249178
S524,9.0,8,85.0,0.7720415224913495
MS3 15,11.0,7,62.0,0.7107180020811654
MS6 8,13.0,8,65.0,0.7810650887573964
MS3 11,13.0,8,77.0,0.7981109799291618
S709B,17.0,8,57.0,0.7522314558325639
MS10 6,9.0,7,54.0,0.7517146776406036
MS11 4,9.0,7,47.0,0.6174739701222274
MS8 12,15.0,8,60.0,0.7322222222222222
MS11 23,15.0,8,66.0,0.7447199265381084
MS5 4,16.0,8,63.0,0.7205845301083397
S1502.2,14.0,8,60.0,0.7294444444444445
MS16 3,12.0,8,81.0,0.8340192043895748
MS4 2,14.0,8,70.0,0.8200000000000001
S713W,8.0,7,81.0,0.7779301935680536
S1226,10.0,8,75.0,0.7818666666666667
MS10 8,19.0,8,63.0,0.7865961199294533
MS4 4,8.0,5,73.0,0.7776318258585101
S1213B,11.0,8,59.0,0.716460787130135
MS11 19,13.0,7,77.0,0.7879912295496712
S1701,13.0,8,51.0,0.6820453671664743
MS8 30,9.0,7,60.0,0.7538888888888888
MS11 6,12.0,8,81.0,0.787075140984606
MS15 6,13.0,7,65.0,0.7517159763313609
MS1 14,3.0,2,97.0,0.7390796046338612
MS16 8,15.0,8,78.0,0.7725180802103879
B201,4.0,2,116.0,0.7731866825208086
MS8 21,10.0,8,83.0,0.7966323123820583
S705A,8.0,7,66.0,0.741505968778696
B213,13.0,8,72.0,0.7932098765432098
S709A,14.0,8,65.0,0.7744378698224852
