response,spearman_rho,p_value,q_BH
MM mean out-degree,-0.1987008833006384,0.1280156148502707,0.7306109422211704
participation coefficient,0.17408243514436267,0.18343463811875377,0.7306109422211704
IA mean out-degree,0.16629111191458035,0.20413734568839365,0.7306109422211704
out-degree IRP,-0.1593608148436735,0.22389842942697585,0.7306109422211704
out-degree RP,-0.15509796982152108,0.236695074389638,0.7306109422211704
out-degree IRAC,0.1528837260772751,0.24353698074039012,0.7306109422211704
out-degree IAC_RAC,0.10156012423637593,0.4400360883780594,0.9601182894504469
out-degree IC,0.07900623529321926,0.5484761109061309,0.9601182894504469
out-degree CS,0.06999302454094482,0.595133900817143,0.9601182894504469
out-degree CMP,-0.061067903370614116,0.6429972021682329,0.9601182894504469
out-degree CCAM,-0.051736210616795425,0.694629757696714,0.9601182894504469
out-degree IG,0.02849649688557311,0.8288837481037103,0.9601182894504469
out-degree CCVM,0.028339715726553534,0.8298111150097028,0.9601182894504469
out-degree IAC_RDE,0.023372325494563646,0.8593065021167091,0.9601182894504469
MC mean out-degree,0.019138878077898488,0.8845973499263898,0.9601182894504469
out-degree RAC,-0.013947276784249939,0.9157667337539783,0.9601182894504469
total out-degree,0.007270891949930806,0.9560300841586385,0.9601182894504469
DA mean out-degree,0.006594286624259549,0.9601182894504469,0.9601182894504469
