layer,reciprocity_obs,reciprocity_null_mean,reciprocity_null_sd,reciprocity_z,reciprocity_p_raw,transitivity_obs,transitivity_null_mean,transitivity_null_sd,transitivity_z,transitivity_p_raw,mean_local_clustering_obs,n_null_draws,seed,reciprocity_q_bh,reciprocity_q_by,reciprocity_significant_by,transitivity_q_bh,transitivity_q_by,transitivity_significant_by
CCAM,0.009900990099009901,0.006929871758604432,0.007430791607186913,0.3998387382485418,1.0,0.09252669039145907,0.10099522764540309,0.01716815955213085,-0.49326995291658576,0.652934706529347,0.18590863478794514,10000,20260522,1.0,1.0,False,0.656934306569343,1.0,False
CCVM,0.02857142857142857,0.026035236869835533,0.007498018296320851,0.3382482679240064,0.7778222177782221,0.17289719626168223,0.20694304062153623,0.013069905799064342,-2.6049035764505124,0.009599040095990401,0.3157604104088104,10000,20260522,0.864246908642469,1.0,False,0.021117888211178885,0.06377343218059146,False
CMP,0.04417670682730924,0.06063570150890421,0.012183906158490403,-1.350879961442042,0.21627837216278373,0.2099502487562189,0.2556404356287977,0.013663025561759997,-3.344075341588779,0.0006999300069993001,0.25753041792515474,10000,20260522,0.30896910308969106,0.9049606944067498,False,0.0019248075192480753,0.0058126826206268255,True
CS,0.06,0.03466113415726533,0.008180891867799562,3.0973231589174075,0.0033996600339966003,0.18192122414281667,0.23015392874030458,0.011876283725560226,-4.0612624043059125,0.00029997000299970003,0.34079822154417205,10000,20260522,0.011332200113322002,0.03319165437953559,True,0.00164983501649835,0.004982299389108708,True
IG,0.14992503748125938,0.10185150236905241,0.007795045064755194,6.16719142902309,9.999000099990002e-05,0.48228266542944964,0.5054991789639326,0.006526579643261043,-3.5572251935138706,0.0004999500049995,0.5400838004056362,10000,20260522,0.0004999500049995,0.0014643376932148055,True,0.0018331500183315004,0.005535888210120787,True
IC,0.008620689655172414,0.013230991995560208,0.007961238364864197,-0.5790936194970262,0.6475352464753524,0.10819672131147541,0.09997177652468053,0.015303813647957546,0.5374441283720534,0.5981401859814018,0.166566679507856,10000,20260522,0.8094190580941905,1.0,False,0.656934306569343,1.0,False
RP,0.02112676056338028,0.011220312482900511,0.004043821219244887,2.449773999239666,0.0451954804519548,0.12188577999233423,0.1285400577466049,0.009016040846173625,-0.7380487586294293,0.44225577442255776,0.5380497687922365,10000,20260522,0.07532580075325801,0.22062687911103068,False,0.656934306569343,1.0,False
IRP,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,,1.0,0.0,10000,20260522,1.0,1.0,False,1.0,1.0,False
IAC_RAC,0.09742120343839542,0.0677691909189715,0.010513956178953593,2.820252625627268,0.0066993300669933005,0.3021914648212226,0.31179203377764186,0.010644888667644629,-0.9018947267715811,0.35636436356364365,0.34768600886972584,10000,20260522,0.014598540145985401,0.042758660641872316,True,0.6533346665333467,1.0,False
IAC_RDE,0.0,0.0,0.0,,1.0,0.03680981595092025,0.049535889570552154,0.01806044078621113,-0.7046380412458187,0.656934306569343,0.016101953601953604,10000,20260522,1.0,1.0,False,0.656934306569343,1.0,False
IRAC,0.09931506849315068,0.05442890946463889,0.010597424285229883,4.235572514641288,9.999000099990002e-05,0.25083892617449666,0.25829272492862504,0.01135854307031471,-0.6562284183795292,0.5130486951304869,0.2962657378633059,10000,20260522,0.0004999500049995,0.0014643376932148055,True,0.656934306569343,1.0,False
RAC,0.29698375870069604,0.28655803659515333,0.003767237940384026,2.7674710943476883,0.0072992700729927005,0.7843492840156713,0.7951757774421272,0.002638655900350633,-4.103033451621054,9.999000099990002e-05,0.8285849276602143,10000,20260522,0.014598540145985401,0.042758660641872316,True,0.0010998900109989002,0.0033215329260724716,True
