embedding,covariance,k_used,cluster,strain
4D_codebase_embedding,full,4,0,MS138 2
4D_codebase_embedding,full,4,0,B7.8
4D_codebase_embedding,full,4,0,MS8 6
4D_codebase_embedding,full,4,0,MS1 13
4D_codebase_embedding,full,4,0,MS13 14
4D_codebase_embedding,full,4,0,S713'V
4D_codebase_embedding,full,4,0,B3.22
4D_codebase_embedding,full,4,0,S802'
4D_codebase_embedding,full,4,0,B4.08
4D_codebase_embedding,full,4,0,S1707
4D_codebase_embedding,full,4,0,S1213A
4D_codebase_embedding,full,4,0,MS3 18
4D_codebase_embedding,full,4,0,S745A
4D_codebase_embedding,full,4,0,MS8 13
4D_codebase_embedding,full,4,0,B701
4D_codebase_embedding,full,4,0,MS4 1
4D_codebase_embedding,full,4,0,MS8 20
4D_codebase_embedding,full,4,0,MS1 18
4D_codebase_embedding,full,4,0,MS16 2
4D_codebase_embedding,full,4,0,MS11 13
4D_codebase_embedding,full,4,0,MS10 14
4D_codebase_embedding,full,4,0,MS16 7
4D_codebase_embedding,full,4,0,MS8 10
4D_codebase_embedding,full,4,0,MS3 15
4D_codebase_embedding,full,4,0,MS6 8
4D_codebase_embedding,full,4,0,MS3 11
4D_codebase_embedding,full,4,0,S709B
4D_codebase_embedding,full,4,0,MS10 6
4D_codebase_embedding,full,4,0,MS11 4
4D_codebase_embedding,full,4,0,MS8 12
4D_codebase_embedding,full,4,0,MS11 23
4D_codebase_embedding,full,4,0,MS5 4
4D_codebase_embedding,full,4,0,S1502.2
4D_codebase_embedding,full,4,0,MS16 3
4D_codebase_embedding,full,4,0,MS4 2
4D_codebase_embedding,full,4,0,S713'W
4D_codebase_embedding,full,4,0,S1226
4D_codebase_embedding,full,4,0,MS10 8
4D_codebase_embedding,full,4,0,MS4 4
4D_codebase_embedding,full,4,0,S1213B
4D_codebase_embedding,full,4,0,MS11 19
4D_codebase_embedding,full,4,0,S1701
4D_codebase_embedding,full,4,0,MS8 30
4D_codebase_embedding,full,4,0,MS11 6
4D_codebase_embedding,full,4,0,MS15 6
4D_codebase_embedding,full,4,0,MS16 8
4D_codebase_embedding,full,4,0,MS8 21
4D_codebase_embedding,full,4,0,S705A
4D_codebase_embedding,full,4,0,B213
4D_codebase_embedding,full,4,0,S709A
4D_codebase_embedding,full,4,1,MS53 7
4D_codebase_embedding,full,4,1,S1705
4D_codebase_embedding,full,4,1,S1350
4D_codebase_embedding,full,4,1,S10071
4D_codebase_embedding,full,4,2,MS11 21
4D_codebase_embedding,full,4,2,S625
4D_codebase_embedding,full,4,2,S524
4D_codebase_embedding,full,4,2,MS1 14
4D_codebase_embedding,full,4,3,MS3 10
4D_codebase_embedding,full,4,3,B201
4D_codebase_embedding,diag,8,0,B7.8
4D_codebase_embedding,diag,8,0,S1707
4D_codebase_embedding,diag,8,0,S1213A
4D_codebase_embedding,diag,8,0,MS3 18
4D_codebase_embedding,diag,8,0,S745A
4D_codebase_embedding,diag,8,0,MS8 20
