embedding,covariance,k,bic,aic,icl,cv_loglik,gmm_silhouette,n_features,n_samples,seed
4D_codebase_embedding,full,1,678.5722362420913,649.2514123709819,678.5722362420913,-5.177095062663656,,4,60,20260522
4D_codebase_embedding,full,2,650.4564299198976,589.7204376154566,658.3569303141758,-6.589392473581799,0.4012829118057162,4,60,20260522
4D_codebase_embedding,full,3,637.2193399084101,545.0681791706377,637.2195848669501,-7.197984327444087,0.4956387834561656,4,60,20260522
4D_codebase_embedding,full,4,635.1747522359098,511.60842306480583,635.1884421779889,-7.816128119425613,0.41902359549409646,4,60,20260522
4D_codebase_embedding,full,5,647.865135744644,492.88363814020863,663.3192066789591,-10.246559674020379,0.17839394289021987,4,60,20260522
4D_codebase_embedding,full,6,667.9212372522477,481.5245712144808,680.5160030442133,-9.961388872544479,0.20431728582612554,4,60,20260522
4D_codebase_embedding,full,7,678.0577979985485,460.24596352745004,687.7226527270916,-12.563607004134543,0.14692980694452026,4,60,20260522
4D_codebase_embedding,full,8,677.9153418324855,428.6883389280556,683.1165407097714,-12.428845738673628,0.16615516047180368,4,60,20260522
4D_codebase_embedding,diag,1,713.8452536358598,697.0904971380829,713.8452536358598,-5.675754132819691,,4,60,20260522
4D_codebase_embedding,diag,2,631.3052424288007,595.7013848710251,641.5513333415652,-5.005686669804288,0.43088120713636197,4,60,20260522
4D_codebase_embedding,diag,3,636.7742709682067,582.3213123504321,663.0732125736517,-5.378572511582394,0.1125912303107906,4,60,20260522
4D_codebase_embedding,diag,4,644.5265689771096,571.2245092993361,644.536553181996,-5.371942741093905,0.47812815597234876,4,60,20260522
4D_codebase_embedding,diag,5,583.0752527889945,490.9240920512221,599.094904089021,-6.119347997653269,0.09386859391389149,4,60,20260522
4D_codebase_embedding,diag,6,609.1195700993183,498.11930830154694,625.2081344806487,-7.024284520221973,0.09319056194045426,4,60,20260522
4D_codebase_embedding,diag,7,658.7303169794328,528.8809541216626,658.9644219375913,-6.279036966529988,0.28614071199466945,4,60,20260522
4D_codebase_embedding,diag,8,513.0261680054932,364.32770408772404,516.3907491454725,-7.265441118436388,0.016508347024713668,4,60,20260522
4D_codebase_embedding,spherical,1,701.5622199491934,691.0904971380829,701.5622199491934,-5.675754132819691,,4,60,20260522
4D_codebase_embedding,spherical,2,624.5823862368377,601.5445960523946,638.1177622202254,-5.011301172035366,0.4360142777425749,4,60,20260522
4D_codebase_embedding,spherical,3,631.9202504656894,596.3163929079136,664.0030459292225,-5.3106551613530355,0.19543942388399785,4,60,20260522
4D_codebase_embedding,spherical,4,621.5828975899198,573.4129726588114,629.2507003755471,-5.551546228222866,0.4253481834650795,4,60,20260522
4D_codebase_embedding,spherical,5,627.8412533112778,567.1052610068369,661.5719129979227,-5.846830881249427,0.2792730376081087,4,60,20260522
4D_codebase_embedding,spherical,6,636.4716697846691,563.1696101068956,664.0432337953876,-5.603447993933981,0.2679013544141973,4,60,20260522
