component,variance_explained,cumulative_variance,var_ci_lo,var_ci_hi,parallel_null_mean,significant_vs_parallel,seed
PC1,0.3245424498834637,0.3245424498834637,0.2415157662333256,0.43698286323114316,0.15104609588961054,True,20260522
PC2,0.17317810988568896,0.49772055976915264,0.13370158773272908,0.22096722170281966,0.13083996978022094,True,20260522
PC3,0.11822331685992604,0.6159438766290787,0.09801917022184657,0.14967820613082689,0.11648898904323982,True,20260522
PC4,0.0822774409815631,0.6982213176106418,0.06907904278738022,0.11416308543023192,0.10428825276881273,False,20260522
PC5,0.07286222529863215,0.771083542909274,0.05290245672991821,0.08910103066444329,0.09354644599135353,False,20260522
PC6,0.05474140097447815,0.825824943883752,0.04064658988935058,0.07290123701914103,0.08361627647716822,False,20260522
PC7,0.04733981321340268,0.8731647570971547,0.0320427437765026,0.058492404227585275,0.07453509169158047,False,20260522
PC8,0.041730168735370964,0.9148949258325256,0.024294418122357258,0.04691870056469424,0.06587331899681154,False,20260522
PC9,0.026751516831881587,0.9416464426644072,0.017372800007596025,0.03649143550820053,0.05740510957343547,False,20260522
PC10,0.024862413523533942,0.9665088561879411,0.012198481594199907,0.02806791780144611,0.04904557039851806,False,20260522
PC11,0.020769994594264003,0.9872788507822051,0.007577149576930105,0.021475050871539628,0.04113793517135108,False,20260522
PC12,0.012721149217794627,0.9999999999999998,0.004252736667520715,0.014601436178194455,0.032176944217897664,False,20260522
