layer,edge_density,reciprocity_pairs,reciprocity_edges,mutual_pairs,unidirectional_pairs,asymmetry_index_pairs,mean_out_degree,mean_in_degree,seed
RAC,0.47372881355932206,0.29698375870069604,0.45796064400715564,384,909,0.703016241299304,27.95,27.95,20260522
IG,0.21666666666666667,0.14992503748125938,0.2607561929595828,100,567,0.8500749625187406,12.783333333333333,12.783333333333333,20260522
IAC_RAC,0.10819209039548022,0.09742120343839542,0.17754569190600522,34,315,0.9025787965616046,6.383333333333334,6.383333333333334,20260522
IRAC,0.09067796610169492,0.09931506849315068,0.1806853582554517,29,263,0.9006849315068494,5.35,5.35,20260522
CS,0.0748587570621469,0.06,0.11320754716981132,15,235,0.94,4.416666666666667,4.416666666666667,20260522
CMP,0.07344632768361582,0.04417670682730924,0.08461538461538462,11,238,0.9558232931726908,4.333333333333333,4.333333333333333,20260522
CCVM,0.0711864406779661,0.02857142857142857,0.05555555555555555,7,238,0.9714285714285714,4.2,4.2,20260522
RP,0.04096045197740113,0.02112676056338028,0.041379310344827586,3,139,0.9788732394366197,2.4166666666666665,2.4166666666666665,20260522
IC,0.03305084745762712,0.008620689655172414,0.017094017094017096,1,115,0.9913793103448276,1.95,1.95,20260522
CCAM,0.0288135593220339,0.009900990099009901,0.0196078431372549,1,100,0.9900990099009901,1.7,1.7,20260522
IAC_RDE,0.018926553672316385,0.0,0.0,0,67,1.0,1.1166666666666667,1.1166666666666667,20260522
IRP,0.005367231638418079,0.0,0.0,0,19,1.0,0.31666666666666665,0.31666666666666665,20260522
