Category,Layer,Density ρ,R_p,z (R_p),Mean out-deg,Mutual pairs,Largest SCC,z (SCC),Transitivity,z (T)
DA,RAC,0.474,0.297,+2.77*,27.95,384,51,+0.57,0.784,-4.10*
DA,IG,0.217,0.150,+6.17*,12.78,100,59,+0.10,0.482,-3.56*
DA,IC,0.033,0.009,-0.58,1.95,1,2,-1.29,0.108,+0.54
IA,IAC_RAC,0.108,0.097,+2.82*,6.38,34,46,-0.22,0.302,-0.90
IA,IRAC,0.091,0.099,+4.24*,5.35,29,41,+0.53,0.251,-0.66
IA,IAC_RDE,0.019,0.000,—,1.12,0,1,—,0.037,-0.70
MM,RP,0.041,0.021,+2.45,2.42,3,3,-1.46,0.122,-0.74
MM,IRP,0.005,0.000,—,0.32,0,1,—,0.000,—
MC,CS,0.075,0.060,+3.10*,4.42,15,26,-0.13,0.182,-4.06*
MC,CMP,0.073,0.044,-1.35,4.33,11,39,+0.26,0.210,-3.34*
MC,CCVM,0.071,0.029,+0.34,4.20,7,24,+0.47,0.173,-2.60
MC,CCAM,0.029,0.010,+0.40,1.70,1,4,+0.08,0.093,-0.49
