Category,Layer,Density ρ,Reciprocity Rp,Mean out-deg,Mutual pairs,Unidir. pairs,SCC obs,SCC null mean,z (SCC),BY q (SCC)
DA,RAC,0.474,0.297,27.95,384,909,51,50.58,0.57,1
DA,IG,0.217,0.15,12.78,100,567,59,58.99,0.1,1
DA,IC,0.033,0.008999999999999999,1.95,1,115,2,5.39,-1.29,1
IA,IAC_RAC,0.108,0.097,6.38,34,315,46,46.26,-0.22,1
IA,IRAC,0.091,0.099,5.35,29,263,41,40.26,0.53,1
IA,IAC_RDE,0.019,0,1.12,0,67,1,1,—,1
MM,RP,0.041,0.021,2.42,3,139,3,4.26,-1.46,1
MM,IRP,0.005,0,0.32,0,19,1,1,—,1
MC,CS,0.075,0.06,4.42,15,235,26,26.36,-0.13,1
MC,CMP,0.073,0.044,4.33,11,238,39,38.6,0.26,1
MC,CCVM,0.07099999999999999,0.029,4.2,7,238,24,22.41,0.47,1
MC,CCAM,0.029,0.01,1.7,1,100,4,3.81,0.08,1
