Layer,Spearman rho (David's score vs Bradley-Terry strength),p-value
CCAM,0.8339538988711239,1.315201962696881e-16
CCVM,0.8450219039948431,2.091782183753562e-17
CMP,0.8440899872864341,2.4553747243349996e-17
CS,0.9028582692079757,6.290193362693765e-23
IG,0.9640723558141095,4.3923524886850283e-35
IC,0.5881886452563557,7.735285784171905e-07
RP,0.8341860921897145,1.2672068342286963e-16
IRP,0.9942096555420534,6.801002403863791e-58
IAC_RAC,0.8631292310992321,7.411238239918857e-19
IAC_RDE,0.8948174352536648,5.631945566735286e-22
IRAC,0.8917604612547337,1.2375744104614094e-21
RAC,0.9731306791941937,1.090792907307383e-38
